,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,hinge,0.3608123473117539,20,0.36571694929969145,0.31577310610772485,11,0.32317452419455156,0.33665959456820616,3,0.3430228215794744
1,1e-07,0.8,hinge,0.3687199140828173,18,0.38166372718428665,0.2701206617738525,18,0.2775220798606792,0.3111220633008301,15,0.32060954046832435
2,3e-07,0.2,hinge,0.3858334864089486,12,0.39065869683816035,0.27161338474934693,17,0.2734170916780694,0.3186333613832368,10,0.32156661877915926
3,3e-07,0.8,hinge,0.36869272794900243,19,0.3791477623699957,0.2940664261724095,13,0.30296056723473064,0.327046791964552,5,0.3365810365168598
4,1e-06,0.2,hinge,0.3536165438513566,21,0.3554728361786218,0.28809553427043166,15,0.2937554422191815,0.3163928114060259,11,0.3203811130082317
5,1e-06,0.8,hinge,0.3702876587257274,16,0.376030025947765,0.2889662893394701,14,0.29344445826595345,0.3223273024390472,7,0.32717432638506355
6,3e-06,0.2,hinge,0.3748502121559378,15,0.38347520287837067,0.25898743624828957,22,0.26657544470705313,0.30616446459888486,16,0.31437501090512426
7,3e-06,0.8,hinge,0.3699162470367057,17,0.3737925743179328,0.28535887548202515,16,0.2908321930588382,0.3217302167193452,9,0.32671212728688936
8,1e-05,0.2,hinge,0.386950667414407,11,0.4019587762038356,0.26271924368702576,20,0.2739146660032342,0.31210288712142775,14,0.3252544415891657
9,1e-05,0.8,hinge,0.38346967732379417,14,0.39061322863518455,0.26520711531284985,19,0.27167558153999255,0.3127379677682325,12,0.31979829319981995
10,3e-05,0.2,hinge,0.38551026759406115,13,0.3966043830295249,0.29611892026371445,12,0.30681676825475807,0.3333614096687177,4,0.3441651093177789
11,3e-05,0.8,hinge,0.42477229249326776,10,0.4312212560723301,0.26016917527055605,21,0.2692499067048141,0.32220071817622126,8,0.3310491621736238
12,0.0001,0.2,hinge,0.47842262723370804,9,0.47705502370867303,0.24586391342206743,23,0.24692125886304267,0.32361704800035807,6,0.3245422850342957
13,0.0001,0.8,hinge,0.48451383816924715,8,0.49172684688679513,0.22496579176514492,24,0.23292698096778208,0.30412966795834195,17,0.313074066432845
14,0.0003,0.2,hinge,0.5677223319520288,7,0.5799361303821164,0.21532528921507654,25,0.2227889040925488,0.31222308131116766,13,0.321886214541899
15,0.0003,0.8,hinge,0.5751027250832792,6,0.5843375724137228,0.20699091926856578,26,0.21451673093668366,0.30334958270761925,18,0.31269706465281755
16,0.001,0.2,hinge,0.6798670966720963,2,0.6979444735870685,0.1618982460505038,27,0.17060579674088816,0.26151746606874143,19,0.2741787007790916
17,0.001,0.8,hinge,0.5851397426758322,5,0.5995909247570883,0.37274536633909694,9,0.38045776837915163,0.4553878919739369,1,0.46552569223349827
18,0.003,0.2,hinge,0.9736842105263157,1,0.9479797979797979,0.0065928598084338845,29,0.0065928598084338845,0.013089484179686047,29,0.013091487560747867
19,0.003,0.8,hinge,0.6085848589102426,3,0.6271127591775792,0.32348550814777954,10,0.33231745241945515,0.42243202098082583,2,0.4344255613198834
20,0.01,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
21,0.01,0.8,hinge,0.5952024524012296,4,0.6109328947027446,0.15524318945142432,28,0.1595969647966165,0.2461693177749429,20,0.25303755631208685
22,0.03,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
23,0.03,0.8,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
24,0.1,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
25,0.1,0.8,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
26,0.3,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
27,0.3,0.8,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
28,1,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
29,1,0.8,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
30,3,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
31,3,0.8,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
32,10,0.2,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
33,10,0.8,hinge,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0
34,30,0.2,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
35,30,0.8,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
36,100,0.2,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
37,100,0.8,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
38,300,0.2,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
39,300,0.8,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
40,1000,0.2,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
41,1000,0.8,hinge,0.05024375,22,0.05024375,0.5,1,0.5,0.09131180499551333,21,0.09131180499551333
