,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,hinge,0.38301631875355696,14,0.39054660042374595,0.2821246423684538,11,0.2914541609652942,0.3233652649691627,4,0.33206248320990994
1,1e-07,0.8,hinge,0.3873454814085201,11,0.3969940566178819,0.2499689016046772,18,0.2595472073641,0.3030180083712546,13,0.3131580687401747
2,3e-07,0.2,hinge,0.361130763018497,18,0.3684649277442697,0.2735414852593606,13,0.2832441846000746,0.3112485722987893,9,0.3201846299427642
3,3e-07,0.8,hinge,0.38567193697652036,12,0.3875783603082308,0.2793257867894016,12,0.2800099514865033,0.32301326651030116,6,0.3240720248819903
4,1e-06,0.2,hinge,0.3960126193563288,10,0.40565300817862443,0.2684413484264212,14,0.2748476178629183,0.3172257112352102,8,0.32490706609456016
5,1e-06,0.8,hinge,0.3775596503102853,15,0.3811143409086767,0.28430153004104985,10,0.292262719243687,0.3242271534701178,3,0.3307089913792539
6,3e-06,0.2,hinge,0.37356274238210874,17,0.38334813618240055,0.25743251648214954,17,0.26477173777833063,0.3047869403817258,12,0.31319368282518095
7,3e-06,0.8,hinge,0.3849979523068616,13,0.3871125020402475,0.3111705435999503,9,0.31552431894514243,0.3440795676695135,1,0.3475942086210432
8,1e-05,0.2,hinge,0.3758986822675169,16,0.38262742481290524,0.2635278019654186,16,0.27030725214578927,0.3097266120805361,10,0.31664658983327015
9,1e-05,0.8,hinge,0.45476756369147814,8,0.4553048592772052,0.23379773603682052,20,0.2385868889165319,0.3088215943535707,11,0.31309110641394833
10,3e-05,0.2,hinge,0.4415980161132782,9,0.4479360812792466,0.2666376414976987,15,0.2709292200522453,0.3321506549694676,2,0.33723388464800674
11,3e-05,0.8,hinge,0.45643929409555495,7,0.4664152308355959,0.24611270058464985,19,0.2509018534643612,0.3197826556779915,7,0.3262827124849478
12,0.0001,0.2,hinge,0.5362139059748399,6,0.5363796821436586,0.231372061201642,21,0.2312476676203508,0.32318254649256206,5,0.32306241723460005
13,0.0001,0.8,hinge,0.5566242190707681,5,0.5724484880755121,0.20425426048015924,22,0.21433014056474686,0.29884122623713166,14,0.3118851308703803
14,0.0003,0.2,hinge,0.6432039008614522,3,0.6547111742424242,0.18926483393456897,23,0.194116183604926,0.292401650526177,15,0.2993889887254673
15,0.0003,0.8,hinge,0.6424442413781433,4,0.6522242809215257,0.1764522950615748,24,0.1829207612887175,0.27686214417005556,16,0.28569352338391335
16,0.001,0.2,hinge,0.8353950140274159,2,0.8395652134023267,0.06617738524692127,25,0.069349421569847,0.12250805879167119,17,0.12798847576098094
17,0.001,0.8,hinge,0.95,1,0.9545454545454546,0.0018659037193680806,26,0.002114690881950491,0.0037240258077426715,26,0.004219564304729523
18,0.003,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
19,0.003,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
20,0.01,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
21,0.01,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
22,0.03,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
23,0.03,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
24,0.1,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
25,0.1,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
26,0.3,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
27,0.3,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
28,1,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
29,1,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
30,3,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
31,3,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
32,10,0.2,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
33,10,0.8,hinge,0.0,27,0.0,0.0,27,0.0,0.0,27,0.0
34,30,0.2,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
35,30,0.8,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
36,100,0.2,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
37,100,0.8,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
38,300,0.2,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
39,300,0.8,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
40,1000,0.2,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
41,1000,0.8,hinge,0.05024375,19,0.05024375,0.5,1,0.5,0.09131180499551333,18,0.09131180499551333
