,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,log,0.3558562735816901,21,0.36366200462237536,0.29045901231496457,13,0.2978604304017913,0.3178286292917667,16,0.3255020489235378
1,1e-07,0.8,log,0.3688388744079296,17,0.3735029133061334,0.2755317825600199,19,0.28262221669361864,0.3147899487803225,18,0.3211875950335795
2,3e-07,0.2,log,0.36514199201260955,20,0.3720865884894009,0.28566985943525314,15,0.2946261972882199,0.32040229158877803,14,0.32868189385734464
3,3e-07,0.8,log,0.3655895376143664,19,0.372315870130604,0.3028983704440851,12,0.30880706555541737,0.33030665814009547,11,0.33653657999100295
4,1e-06,0.2,log,0.3886571686650299,15,0.3935749446022655,0.2894638636646349,14,0.2924493096156239,0.33180420930040927,10,0.33555497816953195
5,1e-06,0.8,log,0.3520526345273468,23,0.35740165239255145,0.31807438736161214,11,0.32541360865779323,0.33419930451253693,9,0.3406530188532578
6,3e-06,0.2,log,0.3793518943819859,16,0.3849349190092177,0.27385246921258866,21,0.2772110959074512,0.317955493449662,15,0.32219540507935707
7,3e-06,0.8,log,0.3541054596115302,22,0.35951821089493174,0.2838661525065307,17,0.28902848613011567,0.3151184199832969,17,0.3204330744498355
8,1e-05,0.2,log,0.36860221005774174,18,0.37293744572225584,0.2845503172036323,16,0.28983704440850855,0.32111527726925526,13,0.32616359113678883
9,1e-05,0.8,log,0.39249873377241384,14,0.3985042289947695,0.2607289463863665,24,0.26694862545092674,0.31328392597613935,19,0.31971674252976945
10,3e-05,0.2,log,0.3944563790428452,13,0.4080266854582568,0.28349297176265703,18,0.2946261972882199,0.3297982436399985,12,0.3421302763575883
11,3e-05,0.8,log,0.4421794899726414,12,0.45696815703193255,0.22521457892772734,28,0.22950615748227393,0.2980750778173373,20,0.3052412040872172
12,0.0001,0.2,log,0.5212153169498852,11,0.532153680333386,0.2596094041547456,26,0.26290583405896256,0.3465260628878195,8,0.3518912898348175
13,0.0001,0.8,log,0.5222473700630886,10,0.536311833464532,0.26035576564249285,25,0.2680681676825476,0.3474350558180076,7,0.3574516439065326
14,0.0003,0.2,log,0.5862718555888299,8,0.5964506172839505,0.274412240328399,20,0.28162706804328896,0.37379713344547233,4,0.3825733147732383
15,0.0003,0.8,log,0.5887260598546558,7,0.6029896740132417,0.26701082224157235,23,0.27534519218808307,0.36733271002743256,5,0.3779852183402291
16,0.001,0.2,log,0.6436654833250853,5,0.6592152934312048,0.267694986938674,22,0.2755317825600199,0.3780982105126887,3,0.3886261048059965
17,0.001,0.8,log,0.5832545493025755,9,0.5953819589714605,0.3730563502923249,9,0.380084587635278,0.45503829768305704,1,0.46397389045260873
18,0.003,0.2,log,0.7031291007796437,4,0.7148955833492578,0.23410871999004848,27,0.23951984077621596,0.35125986792027564,6,0.3588015985751426
19,0.003,0.8,log,0.6071668844683219,6,0.6145007448967574,0.32572459261102127,10,0.33262843637268313,0.4239775591511505,2,0.4316207800336791
20,0.01,0.2,log,0.8012673900228615,2,0.8090166204986149,0.14019156611518846,29,0.14435875108844384,0.23862793095010906,21,0.24499892542503207
21,0.01,0.8,log,0.7331242645930321,3,0.7424223408786662,0.08664012936932454,30,0.08925239457643985,0.14599697704542508,22,0.1499385087659018
22,0.03,0.2,log,1.0,1,0.9515384615384616,0.0037318074387361617,31,0.004540365717128996,0.007435835055067858,31,0.009033430549489073
23,0.03,0.8,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
24,0.1,0.2,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
25,0.1,0.8,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
26,0.3,0.2,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
27,0.3,0.8,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
28,1,0.2,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
29,1,0.8,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
30,3,0.2,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
31,3,0.8,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
32,10,0.2,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
33,10,0.8,log,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
34,30,0.2,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
35,30,0.8,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
36,100,0.2,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
37,100,0.8,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
38,300,0.2,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
39,300,0.8,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
40,1000,0.2,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
41,1000,0.8,log,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,23,0.09131180499551333
