,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,modified_huber,0.36634229219844644,21,0.3760276481093947,0.2847991043662147,20,0.2900858315710909,0.3204121773284427,18,0.32748891003685593
1,1e-07,0.8,modified_huber,0.3500242709652177,26,0.35353312107104085,0.32056225898743623,10,0.3249160343326284,0.33464340977033824,9,0.33860678130683997
2,3e-07,0.2,modified_huber,0.38333147420727026,14,0.3866735936188077,0.2785794253016544,23,0.2874735663639756,0.32266651849863237,17,0.32977385024626116
3,3e-07,0.8,modified_huber,0.3621034417241774,25,0.36976010327392694,0.3078741136957333,13,0.3180121905709665,0.33275183763063704,10,0.3418671827476704
4,1e-06,0.2,modified_huber,0.36530663974611255,23,0.3737912942262024,0.2912675705933574,19,0.2986689886801841,0.32411098881127337,16,0.3319893777054381
5,1e-06,0.8,modified_huber,0.3883735647655186,13,0.39343163973257356,0.3145913670854584,11,0.3193805199651698,0.3461091193018578,6,0.3513909367104902
6,3e-06,0.2,modified_huber,0.3831170604206081,15,0.38819947987081016,0.29251150640626944,16,0.297114068914044,0.33169567108833714,12,0.3365995372852222
7,3e-06,0.8,modified_huber,0.36568591960942115,22,0.37262532531854786,0.2680681676825476,25,0.27403905958452546,0.30785457432973035,22,0.31456125278347713
8,1e-05,0.2,modified_huber,0.37219374802963084,20,0.3700468607175061,0.2805075258116681,22,0.27826844134842643,0.31900078612331045,20,0.31688774847808465
9,1e-05,0.8,modified_huber,0.36283362295698873,24,0.37040042773308385,0.3007836795621346,15,0.30401791267570594,0.3281752980801255,14,0.33315067247726027
10,3e-05,0.2,modified_huber,0.37257956450597607,19,0.37717583762564233,0.292262719243687,17,0.3004726956089066,0.32753780252698705,15,0.33444790467043045
11,3e-05,0.8,modified_huber,0.37473026379451546,18,0.38476766894587366,0.272546336609031,24,0.2807563129742505,0.31433849332682023,21,0.3231243115027941
12,0.0001,0.2,modified_huber,0.37816266211645877,16,0.37763347867035346,0.2915163577559398,18,0.29537255877596713,0.3292321282840892,13,0.3314703103212504
13,0.0001,0.8,modified_huber,0.3775329154133194,17,0.38651292802236203,0.3098644109963926,12,0.31527553178256007,0.33954632936736806,7,0.34661379234062273
14,0.0003,0.2,modified_huber,0.40375629706499666,12,0.40700224258697715,0.24853837541982834,28,0.25158601816146287,0.3073183833818912,23,0.31066075271411875
15,0.0003,0.8,modified_huber,0.4296631344193091,11,0.43654185182694105,0.25388729941535015,26,0.25562880955342704,0.3191503223808885,19,0.322419882049008
16,0.001,0.2,modified_huber,0.5036595245125233,9,0.5156840433897135,0.25139942778952606,27,0.25544221918149024,0.33536320307809253,8,0.3416476567599933
17,0.001,0.8,modified_huber,0.5763028499199414,8,0.5869609498006005,0.388854335116308,7,0.3965667371563627,0.46436460878566516,1,0.47333298723966993
18,0.003,0.2,modified_huber,0.6080781069642169,6,0.6222353322958138,0.22832441846000748,29,0.23690757556910064,0.3318400751022687,11,0.34298998727298613
19,0.003,0.8,modified_huber,0.5960735886804729,7,0.6080422806549644,0.3644731931832317,8,0.37131484015424804,0.45235244719208606,2,0.4610613413866706
20,0.01,0.2,modified_huber,0.63605749426209,2,0.6555031287747672,0.2824978231123274,21,0.28902848613011567,0.37841332392497556,5,0.38821443750689166
21,0.01,0.8,modified_huber,0.6309232606170131,3,0.6399886724096031,0.3026495832815027,14,0.30843388481154377,0.4090574205872697,4,0.41623058996783735
22,0.03,0.2,modified_huber,0.6299225595965451,5,0.6365837667487796,0.3207488493593731,9,0.32628436372683167,0.4247551843317972,3,0.4310440678925101
23,0.03,0.8,modified_huber,0.6299642763373163,4,0.6378208541910747,0.17228511008831943,30,0.1802462992909566,0.2705619895825837,24,0.2810617153771856
24,0.1,0.2,modified_huber,0.9118773946360154,1,0.9164507772020725,0.040241323547704946,31,0.04011692996641373,0.07336139814622132,31,0.07322568590033507
25,0.1,0.8,modified_huber,0.5,10,0.0,6.219679064560268e-05,32,0.0,0.0001243781094527363,32,0.0
26,0.3,0.2,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
27,0.3,0.8,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
28,1,0.2,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
29,1,0.8,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
30,3,0.2,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
31,3,0.8,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
32,10,0.2,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
33,10,0.8,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
34,30,0.2,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
35,30,0.8,modified_huber,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0
36,100,0.2,modified_huber,0.05024375,27,0.05024375,0.5,1,0.5,0.09131180499551333,25,0.09131180499551333
37,100,0.8,modified_huber,0.05024375,27,0.05024375,0.5,1,0.5,0.09131180499551333,25,0.09131180499551333
38,300,0.2,modified_huber,0.05024375,27,0.05024375,0.5,1,0.5,0.09131180499551333,25,0.09131180499551333
39,300,0.8,modified_huber,0.05024375,27,0.05024375,0.5,1,0.5,0.09131180499551333,25,0.09131180499551333
40,1000,0.2,modified_huber,0.05024375,27,0.05024375,0.5,1,0.5,0.09131180499551333,25,0.09131180499551333
41,1000,0.8,modified_huber,0.05024375,27,0.05024375,0.5,1,0.5,0.09131180499551333,25,0.09131180499551333
