,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,perceptron,0.3660389122018414,12,0.3779449150055422,0.31073516606543106,13,0.32472944396069164,0.33611448617725054,4,0.3493220857762407
1,1e-07,0.8,perceptron,0.3514874575749237,22,0.3629527267626764,0.26470954098768507,23,0.2745366339096903,0.3019077599979418,18,0.3125598782841891
2,3e-07,0.2,perceptron,0.36900076969136225,11,0.3763908826982484,0.27733548948874237,19,0.2855454658539619,0.31605261468267115,10,0.3241721445791541
3,3e-07,0.8,perceptron,0.35982177462188625,17,0.36728388759134234,0.2925115064062695,16,0.29680308496081603,0.32264329541964604,9,0.3282077244007656
4,1e-06,0.2,perceptron,0.3650252933835023,14,0.3761701628036699,0.27702450553551433,21,0.28430153004104985,0.3149940734096956,11,0.32382839199724545
5,1e-06,0.8,perceptron,0.3829144659986885,6,0.3876506384283902,0.25544221918149024,26,0.25581539992536384,0.3048134318282102,17,0.3063940786415226
6,3e-06,0.2,perceptron,0.35740228635601246,19,0.3664087293938757,0.3089314591367085,14,0.3200024878716258,0.331219682418106,5,0.34156327161864664
7,3e-06,0.8,perceptron,0.37195526541003693,9,0.3833292307311582,0.2732926980967782,22,0.2852344819007339,0.31494027972810534,12,0.3268907912058142
8,1e-05,0.2,perceptron,0.3564840364901557,20,0.3647949491239263,0.29754944644856324,15,0.3096156238338102,0.32433464924013133,8,0.3349374837627027
9,1e-05,0.8,perceptron,0.3759630979987759,7,0.3781744257524349,0.2856076626446075,17,0.2918895384998134,0.32457089155148516,7,0.32944696078891256
10,3e-05,0.2,perceptron,0.37388764980075995,8,0.3866665421915012,0.26321681801219055,25,0.27435004353775344,0.30848450204341654,15,0.3204655416255174
11,3e-05,0.8,perceptron,0.36367313506365606,15,0.37068807042527024,0.31141933076253264,12,0.31614628685159846,0.33015484952673585,6,0.33559797478569764
12,0.0001,0.2,perceptron,0.36558544026380607,13,0.37036352263597494,0.26427416345316584,24,0.2688767259609404,0.30673590409486506,16,0.3115278050047061
13,0.0001,0.8,perceptron,0.36926953043931415,10,0.38108638228122127,0.3210598333126011,11,0.32479164075133726,0.34331776082366067,3,0.3505495208162981
14,0.0003,0.2,perceptron,0.35397070091314053,21,0.36350569139502664,0.2777708670232616,18,0.2872869759920388,0.3085293844503493,14,0.31845190667057344
15,0.0003,0.8,perceptron,0.4015363418443011,4,0.4078116535145261,0.21967906456026867,28,0.22390844632416967,0.2817062500509669,20,0.28676831582565343
16,0.001,0.2,perceptron,0.38850689780701203,5,0.402132609730931,0.2471078492349795,27,0.2545714641124518,0.3017064534793114,19,0.3112980668606652
17,0.001,0.8,perceptron,0.5767731839576979,2,0.5888732884524654,0.3782808807065555,9,0.38605547953725583,0.4568975886666991,1,0.4663546609405275
18,0.003,0.2,perceptron,0.3626846159903428,16,0.3696058403376017,0.27714889911680557,20,0.2800099514865033,0.31408183107828375,13,0.3184738108883072
19,0.003,0.8,perceptron,0.6043048144152573,1,0.6146486340940205,0.3279014802836174,10,0.3356138823236721,0.42511876051771297,2,0.4341627441581879
20,0.01,0.2,perceptron,0.3582809770301255,18,0.3710474936791215,0.20580918024629927,29,0.20661773852469212,0.23618895713073926,22,0.23897754176513178
21,0.01,0.8,perceptron,0.5510839165846039,3,0.5639911428332691,0.18478666500808558,30,0.19113073765393707,0.27676659679910515,21,0.2855049179799449
22,0.03,0.2,perceptron,0.3213446913212049,23,0.33632717618482744,0.13055106356512006,31,0.13540241323547705,0.11835662663531422,23,0.12189387702823157
23,0.03,0.8,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
24,0.1,0.2,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
25,0.1,0.8,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
26,0.3,0.2,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
27,0.3,0.8,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
28,1,0.2,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
29,1,0.8,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
30,3,0.2,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
31,3,0.8,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
32,10,0.2,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
33,10,0.8,perceptron,0.0,32,0.0,0.0,32,0.0,0.0,32,0.0
34,30,0.2,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
35,30,0.8,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
36,100,0.2,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
37,100,0.8,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
38,300,0.2,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
39,300,0.8,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
40,1000,0.2,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
41,1000,0.8,perceptron,0.05024375,24,0.05024375,0.5,1,0.5,0.09131180499551333,24,0.09131180499551333
