,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-05,0.2,squared_hinge,0.055050505050505044,5,1.0,0.0006841646971016296,6,0.0006841646971016296,0.0013513684668201747,6,0.001367386150565921
1,1e-05,0.2,perceptron,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
2,1e-05,0.2,hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
3,1e-05,0.2,log,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
4,1e-05,0.5,squared_hinge,0.050275378645637754,6,0.550297190765188,0.4996268192561264,5,0.5003731807438736,0.09135780004321668,5,0.09214585487388155
5,1e-05,0.5,perceptron,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
6,1e-05,0.5,hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
7,1e-05,0.5,log,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
8,1e-05,0.8,squared_hinge,0.07805315642341554,4,0.550297190765188,0.4999378032093544,4,0.5003731807438736,0.09197288184909687,4,0.09214585487388155
9,1e-05,0.8,perceptron,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
10,1e-05,0.8,hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
11,1e-05,0.8,log,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
12,0.001,0.2,squared_hinge,0.10054443132990756,1,0.10060634266265472,0.9993158353028982,1,1.0,0.18270619513582717,1,0.18281984874110996
13,0.001,0.2,perceptron,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
14,0.001,0.2,hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
15,0.001,0.2,log,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
16,0.001,0.5,squared_hinge,0.10054443132990756,1,0.10060634266265472,0.9993158353028982,1,1.0,0.18270619513582717,1,0.18281984874110996
17,0.001,0.5,perceptron,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
18,0.001,0.5,hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
19,0.001,0.5,log,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
20,0.001,0.8,squared_hinge,0.10054443132990756,1,0.10060634266265472,0.9993158353028982,1,1.0,0.18270619513582717,1,0.18281984874110996
21,0.001,0.8,perceptron,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
22,0.001,0.8,hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
23,0.001,0.8,log,0.0,7,1.0,0.0,7,0.0006219679064560268,0.0,7,0.0012431317158155585
24,0.01,0.2,squared_hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
25,0.01,0.2,perceptron,0.0,7,1.0,0.0,7,0.00024878716258241074,0.0,7,0.0004974505658500186
26,0.01,0.2,hinge,0.0,7,1.0,0.0,7,0.0003731807438736161,0.0,7,0.0007460830639144492
27,0.01,0.2,log,0.0,7,1.0,0.0,7,0.0003109839532280134,0.0,7,0.0006217668148822339
28,0.01,0.5,squared_hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
29,0.01,0.5,perceptron,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0
30,0.01,0.5,hinge,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0
31,0.01,0.5,log,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0
32,0.01,0.8,squared_hinge,0.0,7,1.0,0.0,7,0.0006841646971016296,0.0,7,0.001367386150565921
33,0.01,0.8,perceptron,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0
34,0.01,0.8,hinge,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0
35,0.01,0.8,log,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0
