,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,param_loss,params,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,mean_train_f1,std_train_f1
12,1.933610678,0.273515701,0.420024037,0.097005486,100,0.2,hinge,"{'alpha': 100, 'l1_ratio': 0.2, 'loss': 'hinge'}",0.1004875,0,0.05024375,0.05024375,1,0.1004875,0,0.05024375,0.05024375,1,0,0.5,0.5,1,1,0,0.5,0.5,0.18262361,0,0.091311805,0.091311805,1,0.18262361,0,0.091311805,0.091311805
13,1.628093123,0.005000234,0.335019112,0.011000872,100,0.8,hinge,"{'alpha': 100, 'l1_ratio': 0.8, 'loss': 'hinge'}",0.1004875,0,0.05024375,0.05024375,1,0.1004875,0,0.05024375,0.05024375,1,0,0.5,0.5,1,1,0,0.5,0.5,0.18262361,0,0.091311805,0.091311805,1,0.18262361,0,0.091311805,0.091311805
0,1.242071033,0.032001853,0.325518608,0.004500389,1.00E-05,0.2,hinge,"{'alpha': 1e-05, 'l1_ratio': 0.2, 'loss': 'hinge'}",0,0,0,0,3,1,1,1,0,0,0,0,0,3,0.000746361,0.000621968,0.000684165,6.22E-05,0,0,0,0,3,0.00149161,0.001243163,0.001367386,0.000124224
1,1.281073213,0.067003846,0.312518001,0.007500529,1.00E-05,0.8,hinge,"{'alpha': 1e-05, 'l1_ratio': 0.8, 'loss': 'hinge'}",0,0,0,0,3,1,1,1,0,0,0,0,0,3,0.000746361,0.000621968,0.000684165,6.22E-05,0,0,0,0,3,0.00149161,0.001243163,0.001367386,0.000124224
2,1.641593814,0.416523814,0.365520835,0.00150001,0.001,0.2,hinge,"{'alpha': 0.001, 'l1_ratio': 0.2, 'loss': 'hinge'}",0,0,0,0,3,1,1,1,0,0,0,0,0,3,0.000746361,0.000621968,0.000684165,6.22E-05,0,0,0,0,3,0.00149161,0.001243163,0.001367386,0.000124224
3,1.751600146,0.105506063,0.620535493,0.014500737,0.001,0.8,hinge,"{'alpha': 0.001, 'l1_ratio': 0.8, 'loss': 'hinge'}",0,0,0,0,3,1,1,1,0,0,0,0,0,3,0.000746361,0.000621968,0.000684165,6.22E-05,0,0,0,0,3,0.00149161,0.001243163,0.001367386,0.000124224
4,1.723098516,0.046002626,0.769544005,0.171509862,0.01,0.2,hinge,"{'alpha': 0.01, 'l1_ratio': 0.2, 'loss': 'hinge'}",0,0,0,0,3,1,1,1,0,0,0,0,0,3,0.000373181,0.000373181,0.000373181,0,0,0,0,0,3,0.000746083,0.000746083,0.000746083,0
5,1.374578714,0.08850503,0.388022184,0.008000374,0.01,0.8,hinge,"{'alpha': 0.01, 'l1_ratio': 0.8, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
6,1.486585021,0.014500737,0.454526186,0.063503742,0.1,0.2,hinge,"{'alpha': 0.1, 'l1_ratio': 0.2, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
7,1.475084543,0.03000164,0.582033157,0.02400136,0.1,0.8,hinge,"{'alpha': 0.1, 'l1_ratio': 0.8, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
8,1.536587715,0.249514341,0.437525034,0.069504023,1,0.2,hinge,"{'alpha': 1, 'l1_ratio': 0.2, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
9,1.765601039,0.12150681,0.505028844,0.002000213,1,0.8,hinge,"{'alpha': 1, 'l1_ratio': 0.8, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
10,1.881607533,0.368520975,0.693039656,0.283016205,10,0.2,hinge,"{'alpha': 10, 'l1_ratio': 0.2, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
11,1.809603572,0.482527614,0.541030884,0.121006966,10,0.8,hinge,"{'alpha': 10, 'l1_ratio': 0.8, 'loss': 'hinge'}",0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
