,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,hinge,0.055050505050505044,1,1.0,0.0006841646971016296,9,0.0006841646971016296,0.0013513684668201747,9,0.001367386150565921
1,1e-07,0.8,hinge,0.055050505050505044,1,1.0,0.0006841646971016296,9,0.0006841646971016296,0.0013513684668201747,9,0.001367386150565921
2,3e-07,0.2,hinge,0.0,12,1.0,0.0,12,0.0005597711158104241,0.0,12,0.0011189081709184591
3,3e-07,0.8,hinge,0.055050505050505044,1,1.0,0.0006841646971016296,9,0.0006841646971016296,0.0013513684668201747,9,0.001367386150565921
4,1e-06,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
5,1e-06,0.8,hinge,0.0,12,1.0,0.0,12,0.00024878716258241074,0.0,12,0.0004974196414099609
6,3e-06,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
7,3e-06,0.8,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
8,1e-05,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
9,1e-05,0.8,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
10,3e-05,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
11,3e-05,0.8,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
12,0.0001,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
13,0.0001,0.8,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
14,0.0003,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
15,0.0003,0.8,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
16,0.001,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
17,0.001,0.8,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
18,0.003,0.2,hinge,0.0,12,1.0,0.0,12,0.0006841646971016296,0.0,12,0.001367386150565921
19,0.003,0.8,hinge,0.0,12,1.0,0.0,12,0.0003109839532280134,0.0,12,0.0006217668148822339
20,0.01,0.2,hinge,0.0,12,1.0,0.0,12,0.0003731807438736161,0.0,12,0.0007460830639144492
21,0.01,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
22,0.03,0.2,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
23,0.03,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
24,0.1,0.2,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
25,0.1,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
26,0.3,0.2,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
27,0.3,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
28,1,0.2,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
29,1,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
30,3,0.2,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
31,3,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
32,10,0.2,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
33,10,0.8,hinge,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0
34,30,0.2,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
35,30,0.8,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
36,100,0.2,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
37,100,0.8,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
38,300,0.2,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
39,300,0.8,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
40,1000,0.2,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
41,1000,0.8,hinge,0.05024375,4,0.05024375,0.5,1,0.5,0.09131180499551333,1,0.09131180499551333
