,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.001,0.4,squared_hinge,0.5863892126118537,5,0.6021600586757669,0.22110959074511757,8,0.23075009329518598,0.3208314158613284,9,0.3334435449890955
1,0.001,0.6,squared_hinge,0.5865876063272767,4,0.6061770105367088,0.21569846995895015,10,0.22409503669610648,0.3151243115773132,10,0.32696592628808335
2,0.001,0.9,squared_hinge,0.459822468727414,11,0.468695724500826,0.3936434879960194,5,0.4020400547331758,0.42214619312140494,7,0.4305775207150587
3,0.01,0.4,squared_hinge,0.5050045515275223,10,0.503673911360591,0.45565368826968533,1,0.4555292946883941,0.4790611407489255,2,0.47839177362199814
4,0.01,0.6,squared_hinge,0.5071957398075689,9,0.506817678125961,0.4550939171538748,2,0.4552805075258117,0.4797120397523518,1,0.47964249268930104
5,0.03,0.4,squared_hinge,0.5235851816803277,7,0.5219537985015745,0.4348177634034084,4,0.43643487996019403,0.47509026660241904,4,0.47537816012911105
6,0.03,0.6,squared_hinge,0.5235265221831163,8,0.5233688580406441,0.4382385868889165,3,0.44004229381763904,0.47696212732997995,3,0.4779526699708868
7,0.1,0.4,squared_hinge,0.59410516136728,3,0.592247424343056,0.35141186714765515,7,0.35190944147282,0.44161085889831264,6,0.4414810736431569
8,0.1,0.6,squared_hinge,0.5596521278887328,6,0.5572639808869276,0.39264833934568977,6,0.3935812912053738,0.4615054677927872,5,0.461329854326806
9,0.3,0.4,squared_hinge,0.8130983485133364,1,0.8089481627677484,0.11276278144047767,11,0.11294937181241449,0.19778983237919195,11,0.19779460360343032
10,0.3,0.6,squared_hinge,0.7040931295659367,2,0.7099612502628312,0.22023883567607913,9,0.22285110088319443,0.3354864421640608,8,0.3391289201447994
