,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,1e-07,0.2,squared_hinge,0.3598679053797432,26,0.368760999222745,0.2813160840900609,30,0.2895260604552805,0.3157114020988367,24,0.3243538813877832
1,1e-07,0.8,squared_hinge,0.3652702849722786,20,0.36766064882165594,0.311357133971887,19,0.31589749968901604,0.3361634632611954,13,0.33981626554090316
2,3e-07,0.2,squared_hinge,0.35908167837059213,28,0.3683625444018541,0.304017912675706,21,0.31813658415225776,0.32922730657295524,17,0.34132480723299596
3,3e-07,0.8,squared_hinge,0.3722074212957706,18,0.3804679629647362,0.2771488991168056,32,0.28554546585396196,0.3175550971283333,23,0.32613657968209286
4,1e-06,0.2,squared_hinge,0.37411546361636105,14,0.383815764160782,0.2990421694240577,24,0.3030849608160219,0.332060435181595,15,0.33845349703762817
5,1e-06,0.8,squared_hinge,0.3726252258319259,17,0.38304999768203335,0.26209727578056974,33,0.2703072521457893,0.3073470730135472,25,0.3165913160488938
6,3e-06,0.2,squared_hinge,0.3730959543527185,16,0.3780408456569117,0.2875357631546212,28,0.291018783430775,0.3243509116797869,19,0.3282937118912752
7,3e-06,0.8,squared_hinge,0.36327509500639127,25,0.36803688983990884,0.2911431770120662,26,0.2930090807314343,0.3224824058192767,21,0.32551826790787064
8,1e-05,0.2,squared_hinge,0.38183209721837713,13,0.3859305572051505,0.27889040925488245,31,0.2801965418584401,0.3183760794571409,22,0.32057532495546287
9,1e-05,0.8,squared_hinge,0.3645433659579554,23,0.3731975681161096,0.3097400174151014,20,0.31794999378032096,0.33455891458713966,14,0.34301666446038775
10,3e-05,0.2,squared_hinge,0.3594821068548387,27,0.36129751198180504,0.3014056474685906,23,0.30202761537504663,0.3278800674165212,18,0.3289900767613631
11,3e-05,0.8,squared_hinge,0.36526863367769025,21,0.369513162800126,0.3156487125264336,18,0.31906953601194177,0.33853922413390947,12,0.34237304781998235
12,0.0001,0.2,squared_hinge,0.36517039312738236,22,0.3702849797486041,0.3026495832815027,22,0.30905585271799974,0.33094350974108655,16,0.3368639361103989
